,date,name
0,08 July 2022,Thor: Love and Thunder (2022)
1,08 July 2022,Murina (2021)
2,13 July 2022,The Deer King (2021)
3,15 July 2022,Where the Crawdads Sing (2022)
4,15 July 2022,Paws of Fury: The Legend of Hank (2022)
5,15 July 2022,Mrs Harris Goes to Paris (2022)
6,22 July 2022,Nope (2022)
7,22 July 2022,How to Please a Woman (2022)
8,22 July 2022,Alone Together (2022)
9,22 July 2022,My Old School (2022)
10,29 July 2022,Thirteen Lives (2022)
11,29 July 2022,DC League of Super-Pets (2022)
12,29 July 2022,The Reef: Stalked (2022)
13,29 July 2022,Vengeance (2022)
14,29 July 2022,Resurrection (2022)
15,29 July 2022,Ali & Ava (2021)
16,05 August 2022,Bullet Train (2022)
17,05 August 2022,Bodies Bodies Bodies (2022)
18,05 August 2022,Easter Sunday (2022)
19,05 August 2022,Secret Headquarters (2022)
20,05 August 2022,I Love My Dad (2022)
21,09 August 2022,Pil's Adventures (2021)
22,12 August 2022,Fall (2022)
23,12 August 2022,Mack & Rita (2022)
24,18 August 2022,Dragon Ball Super: Super Hero (2022)
25,19 August 2022,Beast (2022)
26,19 August 2022,The Drover's Wife (2021)
27,26 August 2022,The Invitation (2022)
28,26 August 2022,Samaritan (2022)
29,28 August 2022,Unthinkably Good Things (2022)
30,31 August 2022,Barbarian (2022)
31,31 August 2022,Three Thousand Years of Longing (2022)
32,02 September 2022,Honk for Jesus. Save Your Soul. (2022)
33,07 September 2022,After Ever Happy (2022)
34,09 September 2022,Salem's Lot (2022)
35,09 September 2022,True Things (2021)
36,09 September 2022,Dark Harvest (2022)
37,09 September 2022,Brahmastra Part One: Shiva (2022)
38,16 September 2022,The Woman King (2022)
39,16 September 2022,Alphas (2022)
40,23 September 2022,Don't Worry Darling (2022)
41,30 September 2022,Smile (2022)
42,30 September 2022,Bros (2022)
43,30 September 2022,Vesper (2022)
44,01 October 2022,Syndrome K (2021)
45,07 October 2022,"Lyle, Lyle, Crocodile (2022)"
46,07 October 2022,Till (2022)
47,14 October 2022,Halloween Ends (2022)
48,14 October 2022,Decision to Leave (2022)
49,14 October 2022,White Bird: A Wonder Story (2022)
50,15 October 2022,MK Ultra (2022)
51,21 October 2022,Ticket to Paradise (2022)
52,21 October 2022,Black Adam (2022)
53,21 October 2022,The Banshees of Inisherin (2022)
54,28 October 2022,Devotion (2022)
55,28 October 2022,The Devil's Light (2022)
56,02 November 2022,The Monkey King: The Legend Begins (2022)
57,04 November 2022,Amsterdam (2022)
58,04 November 2022,A Christmas Story Christmas (2022)
59,04 November 2022,Eye See You (2002)
60,11 November 2022,Black Panther: Wakanda Forever (2022)
61,18 November 2022,The Menu (2022)
62,18 November 2022,She Said (2022)
63,23 November 2022,The Fabelmans (2022)
64,23 November 2022,Strange World (2022)
65,23 November 2022,Creed III (2022)
66,02 December 2022,Violent Night (2022)
67,15 December 2022,Bitch Ass (2022)
68,16 December 2022,Avatar: The Way of Water (2022)
69,21 December 2022,Shazam! Fury of the Gods (2022)
70,21 December 2022,Puss in Boots: The Last Wish (2022)
71,22 December 2022,Scoob!: Holiday Haunt (2022)
72,25 December 2022,A Man Called Otto (2022)
73,06 January 2023,Babylon (2022)
74,13 January 2023,Kraven the Hunter (2023)
75,13 January 2023,M3GAN (2023)
76,27 January 2023,Last Voyage of the Demeter (2023)
77,03 February 2023,Knock at the Cabin (2023)
78,10 February 2023,It’s All Coming Back to Me (2023)
79,17 February 2023,Ant-Man and the Wasp: Quantumania (2023)
80,24 February 2023,Cocaine Bear (2023)
81,03 March 2023,Dungeons & Dragons (2023)
82,10 March 2023,Haunted Mansion (2023)
83,17 March 2023,Aquaman and the Lost Kingdom (2023)
84,24 March 2023,John Wick: Chapter 4 (2023)
85,31 March 2023,Scream 6 (2023)
86,07 April 2023,Untitled Illumination Entertainment Super Mario Project (2023)
87,14 April 2023,Renfield (2023)
88,14 April 2023,65 (2023)
89,28 April 2023,"Are You There God? It's Me, Margaret (2023)"
90,30 April 2023,The Ark and the Aardvark (2023)
91,05 May 2023,Guardians of the Galaxy Vol. 3 (2023)
92,19 May 2023,Fast X (2023)
93,26 May 2023,The Little Mermaid (2023)
94,02 June 2023,Spider-Man: Across the Spider-Verse (2023)
95,09 June 2023,Transformers: Rise of the Beasts (2023)
96,16 June 2023,Elemental (2023)
97,23 June 2023,The Flash (2023)
98,30 June 2023,Indiana Jones 5 (2023)
99,30 June 2023,Naya Legend of the Golden Dolphin (2023)
